state,city,abbr,city_id,white,black,hispanic,asian,american_indian,alaskan_native,native_hawaiian,city_k12,city_teacher,state_k12,state_teacher
Alaska,,AK,1,1,1,0,0,0,0,0,,,0.537693262,0.847609162
Alaska,,AK,1,1,1,0,0,0,0,1,,,0.553789616,0.847609162
Alaska,,AK,1,1,1,0,0,0,1,0,,,0.696706414,0.876231432
Alaska,,AK,1,1,1,0,0,0,1,1,,,0.712802768,0.876231432
Alaska,,AK,1,1,1,0,0,1,0,0,,,0.558950663,0.854473412
Alaska,,AK,1,1,1,0,0,1,0,1,,,0.575047016,0.854473412
Alaska,,AK,1,1,1,0,0,1,1,0,,,0.717963815,0.883095682
Alaska,,AK,1,1,1,0,0,1,1,1,,,0.734060168,0.883095682
Alaska,,AK,1,1,1,0,1,0,0,0,,,0.598939538,0.856888652
Alaska,,AK,1,1,1,0,1,0,0,1,,,0.615035892,0.856888652
Alaska,,AK,1,1,1,0,1,0,1,0,,,0.75795269,0.885510921
Alaska,,AK,1,1,1,0,1,0,1,1,,,0.774049044,0.885510921
Alaska,,AK,1,1,1,0,1,1,0,0,,,0.620196939,0.863752902
Alaska,,AK,1,1,1,0,1,1,0,1,,,0.636293292,0.863752902
Alaska,,AK,1,1,1,0,1,1,1,0,,,0.779210091,0.892375171
Alaska,,AK,1,1,1,0,1,1,1,1,,,0.795306444,0.892375171
Alaska,,AK,1,1,1,1,0,0,0,0,,,0.628673971,0.914260268
Alaska,,AK,1,1,1,1,0,0,0,1,,,0.644770324,0.914260268
Alaska,,AK,1,1,1,1,0,0,1,0,,,0.787687123,0.942882538
Alaska,,AK,1,1,1,1,0,0,1,1,,,0.803783476,0.942882538
Alaska,,AK,1,1,1,1,0,1,0,0,,,0.649931371,0.921124518
Alaska,,AK,1,1,1,1,0,1,0,1,,,0.666027725,0.921124518
Alaska,,AK,1,1,1,1,0,1,1,0,,,0.808944523,0.949746788
Alaska,,AK,1,1,1,1,0,1,1,1,,,0.825040877,0.949746788
Alaska,,AK,1,1,1,1,1,0,0,0,,,0.689920247,0.923539758
Alaska,,AK,1,1,1,1,1,0,0,1,,,0.7060166,0.923539758
Alaska,,AK,1,1,1,1,1,0,1,0,,,0.848933399,0.952162027
Alaska,,AK,1,1,1,1,1,0,1,1,,,0.865029752,0.952162027
Alaska,,AK,1,1,1,1,1,1,0,0,,,0.711177647,0.930404007
Alaska,,AK,1,1,1,1,1,1,0,1,,,0.727274001,0.930404007
Alaska,,AK,1,1,1,1,1,1,1,0,,,0.870190799,0.959026277
Alaska,,AK,1,1,1,1,1,1,1,1,,,0.886287153,0.959026277
Arizona,Phoenix,AZ,1,0,0,0,0,0,0,0,0,0,0,0
Arizona,Phoenix,AZ,1,0,0,0,0,0,0,1,0.00188428,0,0.001615354,0
Arizona,Phoenix,AZ,1,0,0,0,0,0,1,0,8.89E-05,0,0.000151295,0
Arizona,Phoenix,AZ,1,0,0,0,0,0,1,1,0.00197318,0,0.001766649,0
Arizona,Phoenix,AZ,1,0,0,0,0,1,0,0,0.016380666,0.005461677,0.04930165,0.025909452
Arizona,Phoenix,AZ,1,0,0,0,0,1,0,1,0.018264946,0.005461677,0.050917003,0.025909452
Arizona,Phoenix,AZ,1,0,0,0,0,1,1,0,0.016469566,0.005461677,0.049452946,0.025909452
Arizona,Phoenix,AZ,1,0,0,0,0,1,1,1,0.018353846,0.005461677,0.051068299,0.025909452
Arizona,Phoenix,AZ,1,0,0,0,1,0,0,0,0.033329491,0.036571763,0.025276361,0.032424733
Arizona,Phoenix,AZ,1,0,0,0,1,0,0,1,0.035213768,0.036571763,0.026891714,0.032424733
Arizona,Phoenix,AZ,1,0,0,0,1,0,1,0,0.033418391,0.036571763,0.025427656,0.032424733
Arizona,Phoenix,AZ,1,0,0,0,1,0,1,1,0.035302669,0.036571763,0.027043009,0.032424733
Arizona,Phoenix,AZ,1,0,0,0,1,1,0,0,0.049710155,0.042033441,0.07457801,0.058334187
Arizona,Phoenix,AZ,1,0,0,0,1,1,0,1,0.051594432,0.042033441,0.076193362,0.058334187
Arizona,Phoenix,AZ,1,0,0,0,1,1,1,0,0.049799055,0.042033441,0.074729301,0.058334187
Arizona,Phoenix,AZ,1,0,0,0,1,1,1,1,0.051683333,0.042033441,0.076344654,0.058334187
Arizona,Phoenix,AZ,1,0,0,1,0,0,0,0,0.433997899,0.122303851,0.438086092,0.15254198
Arizona,Phoenix,AZ,1,0,0,1,0,0,0,1,0.435882181,0.122303851,0.439701438,0.15254198
Arizona,Phoenix,AZ,1,0,0,1,0,0,1,0,0.4340868,0.122303851,0.438237399,0.15254198
Arizona,Phoenix,AZ,1,0,0,1,0,0,1,1,0.435971081,0.122303851,0.439852744,0.15254198
Arizona,Phoenix,AZ,1,0,0,1,0,1,0,0,0.450378567,0.127765521,0.487387747,0.178451434
Arizona,Phoenix,AZ,1,0,0,1,0,1,0,1,0.452262849,0.127765521,0.489003092,0.178451434
Arizona,Phoenix,AZ,1,0,0,1,0,1,1,0,0.450467467,0.127765521,0.487539053,0.178451434
Arizona,Phoenix,AZ,1,0,0,1,0,1,1,1,0.452351749,0.127765521,0.489154398,0.178451434
Arizona,Phoenix,AZ,1,0,0,1,1,0,0,0,0.467327386,0.158875614,0.463362455,0.184966713
Arizona,Phoenix,AZ,1,0,0,1,1,0,0,1,0.469211668,0.158875614,0.464977801,0.184966713
Arizona,Phoenix,AZ,1,0,0,1,1,0,1,0,0.467416286,0.158875614,0.463513762,0.184966713
Arizona,Phoenix,AZ,1,0,0,1,1,0,1,1,0.469300568,0.158875614,0.465129107,0.184966713
Arizona,Phoenix,AZ,1,0,0,1,1,1,0,0,0.483708054,0.164337292,0.51266408,0.210876167
Arizona,Phoenix,AZ,1,0,0,1,1,1,0,1,0.485592335,0.164337292,0.514279425,0.210876167
Arizona,Phoenix,AZ,1,0,0,1,1,1,1,0,0.483796954,0.164337292,0.512815356,0.210876167
Arizona,Phoenix,AZ,1,0,0,1,1,1,1,1,0.485681236,0.164337292,0.514430702,0.210876167
Arizona,Phoenix,AZ,1,0,1,0,0,0,0,0,0.05398304,0.030832551,0.043040842,0.027452545
